title,author,length
American Prometheus,"By: Kai Bird, Martin J. Sherwin",Length: 26 hrs and 30 mins
Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
Those Empty Eyes,By: Charlie Donlea,Length: 10 hrs and 28 mins
Fourth Wing,By: Rebecca Yarros,Length: 20 hrs and 43 mins
Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
Hábitos atómicos,By: James Clear,Length: 9 hrs and 1 min
The Five-Star Weekend,By: Elin Hilderbrand,Length: 12 hrs and 45 mins
Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
"Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
The Collector,By: Daniel Silva,Length: 9 hrs and 12 mins
A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
A Soul of Ash and Blood,By: Jennifer L. Armentrout,Length: 19 hrs and 42 mins
Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Too Soon for Adiós,By: Annette Chavez Macias,Length: 9 hrs and 7 mins
How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
Identity,By: Nora Roberts,Length: 15 hrs and 4 mins
Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Dark Future,"By: Glenn Beck, Justin Trask Haskins",Length: 16 hrs and 5 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
"Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 47 mins
A Court of Mist and Fury,By: Sarah J. Maas,Length: 23 hrs and 16 mins
Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
A Novel Proposal,By: Denise Hunter,Length: 7 hrs and 59 mins
Blowback,By: Miles Taylor,Length: 12 hrs and 57 mins
Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
The Summer I Turned Pretty,By: Jenny Han,Length: 6 hrs
It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
Too Late,By: Colleen Hoover,Length: 10 hrs and 19 mins
Wool,By: Hugh Howey,Length: 15 hrs
"Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
Happy Place,By: Emily Henry,Length: 11 hrs and 3 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
After Death,By: Dean Koontz,Length: 9 hrs and 24 mins
The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
The Only One Left,By: Riley Sager,Length: 12 hrs and 32 mins
"Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
The Wager,By: David Grann,Length: 8 hrs and 28 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
"Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
It’s Not Summer Without You,By: Jenny Han,Length: 6 hrs and 7 mins
House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
A Court of Silver Flames,By: Sarah J. Maas,Length: 26 hrs and 5 mins
Shift,By: Hugh Howey,Length: 14 hrs and 35 mins
The Creative Act,By: Rick Rubin,Length: 5 hrs and 45 mins
"Tomorrow, and Tomorrow, and Tomorrow",By: Gabrielle Zevin,Length: 13 hrs and 52 mins
Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
The Fourth Turning Is Here,By: Neil Howe,Length: 20 hrs and 29 mins
Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
Pretty Girls,By: Karin Slaughter,Length: 20 hrs
The Perfect Marriage,By: Jeneva Rose,Length: 8 hrs and 52 mins
The Ballad of Songbirds and Snakes,By: Suzanne Collins,Length: 16 hrs and 16 mins
A Flicker in the Dark,By: Stacy Willingham,Length: 11 hrs and 6 mins
Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
The Real Anthony Fauci,By: Robert F. Kennedy Jr.,Length: 27 hrs and 20 mins
The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
Trust (Pulitzer Prize Winner),By: Hernan Diaz,Length: 10 hrs and 21 mins
Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 21 mins
Relentless,"By: Tim S. Grover, Shari Wenk",Length: 6 hrs and 38 mins
Obsessed,"By: James Patterson, James O. Born",Length: 7 hrs and 48 mins
The Alchemist,By: Paulo Coelho,Length: 4 hrs
Yellowface,By: R. F. Kuang,Length: 8 hrs and 39 mins
I Will Teach You to Be Rich,By: Ramit Sethi,Length: 12 hrs and 8 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
Only the Dead,By: Jack Carr,Length: 15 hrs and 17 mins
Dust,By: Hugh Howey,Length: 10 hrs and 53 mins
The Terminal List,By: Jack Carr,Length: 12 hrs and 3 mins
